State,State_abb,Total,Beef,Milk,Other,Total_counted,Beef_perc,Milk_perc,Sum
US,US,93648041,31722039,9539631,52386371,41261670,76.88016263,23.11983737,100
Alabama,AL,1324233,718472,5949,599812,724421,99.17879244,0.821207557,100
Alaska,AK,14960,,,14960,0,50,50,100
Arizona,AZ,1015237,199325,211937,603975,411262,48.46667088,51.53332912,100
Arkansas,AR,1759375,927278,6114,825983,933392,99.34496974,0.655030255,100
California,CA,5185593,682372,1750329,2752892,2432701,28.04997408,71.95002592,100
Colorado,CO,2812306,806216,169423,1836667,975639,82.63466303,17.36533697,100
Connecticut,CT,49949,6396,20170,23383,26566,24.07588647,75.92411353,100
Delaware,DE,14751,2404,4560,7787,6964,34.52039058,65.47960942,100
Florida,FL,1635742,882355,125055,628332,1007410,87.58648415,12.41351585,100
Georgia,GA,1059672,488415,85554,485703,573969,85.09431694,14.90568306,100
Hawaii,HI,137930,,,137930,0,50,50,100
Idaho,ID,2435137,497984,603817,1333336,1101801,45.19727247,54.80272753,100
Illinois,IL,1130993,394667,93341,642985,488008,80.87305946,19.12694054,100
Indiana,IN,844187,210168,189035,444984,399203,52.64689895,47.35310105,100
Iowa,IA,3950920,938818,223579,2788523,1162397,80.76569365,19.23430635,100
Kansas,KS,6278772,1499843,160671,4618258,1660514,90.32402015,9.675979847,100
Kentucky,KY,2155894,1031675,57645,1066574,1089320,94.70816656,5.291833437,100
Delaware,LA,801163,469483,12328,319352,481811,97.44132035,2.558679648,100
Maine,ME,79416,10423,30443,38550,40866,25.50531004,74.49468996,100
Maryland,MD,185281,48189,48211,88881,96400,49.98858921,50.01141079,100
Massachusetts,MA,36574,6920,12071,17583,18991,36.43831289,63.56168711,100
Michigan,MI,1201383,103522,442032,655829,545554,18.97557345,81.02442655,100
Minnesota,MN,2337505,368214,457801,1511490,826015,44.57715659,55.42284341,100
Mississippi,MS,937053,503388,9354,424311,512742,98.1756907,1.824309302,100
Missouri,MO,4060220,2163755,84977,1811488,2248732,96.22111483,3.778885167,100
Montana,MT,2518571,1487789,13036,1017746,1500825,99.13141106,0.868588943,100
Nebraska,NE,6759945,1896454,68846,4794645,1965300,96.49692159,3.50307841,100
Nevada,NV,476858,248515,31599,196744,280114,88.71923574,11.28076426,100
New Hampshire,NH,35323,4654,13118,17551,17772,26.18726086,73.81273914,100
New Jersey,NJ,27789,9370,6354,12065,15724,59.590435,40.409565,100
New Mexico,NM,1498731,482320,337888,678523,820208,58.80459591,41.19540409,100
New York,NY,1479389,109914,628245,741230,738159,14.89028786,85.10971214,100
North Carolina,NC,776271,369922,45422,360927,415344,89.06400478,10.93599522,100
North Dakota,ND,1835682,984687,16470,834525,1001157,98.35490338,1.645096623,100
Ohio,OH,1284240,300681,269069,714490,569750,52.77419921,47.22580079,100
Oklahoma,OK,5090919,2129403,46369,2915147,2175772,97.86884839,2.13115161,100
Oregon,OR,1243916,538702,128284,576930,666986,80.76661279,19.23338721,100
Pennsylvania,PA,1621303,217617,527617,876069,745234,29.20116366,70.79883634,100
Rhode Island,RI,5003,1679,833,2491,2512,66.83917197,33.16082803,100
South Carolina,SC,326114,176801,15310,134003,192111,92.03064895,7.969351052,100
South Dakota,SD,3988183,1799801,127325,2061057,1927126,93.39301115,6.606988853,100
Tennessee,TN,1820101,906108,40623,873370,946731,95.70912963,4.290870374,100
Texas,TX,12573876,4572742,531849,7469285,5104591,89.58096741,10.41903259,100
Utah,UT,764725,338572,98389,327764,436961,77.4833452,22.5166548,100
Vermont,VT,254796,15717,128742,110337,144459,10.87990364,89.12009636,100
Virginia,VA,1482888,638418,87322,757148,725740,87.96786728,12.03213272,100
Washington,WA,1155544,239154,276914,639476,516068,46.34156739,53.65843261,100
West Virginia,WV,380299,205617,7242,167440,212859,96.5977478,3.402252195,100
Wisconsin,WI,3494462,287100,1280395,1926967,1567495,18.3158479,81.6841521,100
Wyoming,WY,1308867,715563,5719,587585,721282,99.20710624,0.792893764,100
DC,DC,0,0,0,0,0,50,50,100
