,HUC_8,_merge,HUC_6
155,02010001,left_only,020100
316,18030008,left_only,180300
341,18020117,left_only,180201
427,18020107,left_only,180201
482,18060011,left_only,180600
533,18020119,left_only,180201
550,09030004,left_only,090300
646,09010001,left_only,090100
674,09020313,left_only,090203
682,10160010,left_only,101600
772,18060012,left_only,180600
838,02010003,left_only,020100
844,18100200,left_only,181002
854,18020102,left_only,180201
886,18020106,left_only,180201
921,18020103,left_only,180201
929,18020101,left_only,180201
945,18010111,left_only,180101
1007,02010006,left_only,020100
1008,02010007,left_only,020100
1018,02010008,left_only,020100
1051,02060008,left_only,020600
1052,02060009,left_only,020600
1062,02060007,left_only,020600
1063,02060010,left_only,020600
1072,03030001,left_only,030300
1177,18020105,left_only,180201
1252,18020114,left_only,180201
1270,18020112,left_only,180201
1280,18020109,left_only,180201
1326,02010002,left_only,020100
1412,01110000,left_only,011100
1497,10010002,left_only,100100
1513,01010001,left_only,010100
1520,18020113,left_only,180201
1524,18020108,left_only,180201
1532,18020110,left_only,180201
1568,02010005,left_only,020100
1583,18020127,left_only,180201
1594,18020124,left_only,180201
1597,18040005,left_only,180400
1651,18020120,left_only,180201
1654,18030011,left_only,180300
1706,14010006,left_only,140100
1720,18060001,left_only,180600
1732,03020106,left_only,030201
1752,18020118,left_only,180201
1780,18040004,left_only,180400
1844,10010001,left_only,100100
1847,02010004,left_only,020100
