ROI,Eco99,IR,FI
15.2174847,3374153.25,0.000712645,1.06404421
5.95065966,5342143.76,0.00071613,1.00733503
6.99786797,3945144.83,0.00072069,1.08096343
7.3395088,4652473.01,0.000713045,1.01451989
8.00765649,3515046.15,0.000720714,1.03414185
8.49802479,3614812.28,0.000720655,1.01092249
8.30174049,5386016.24,0.000712923,1.00350886
10.4604161,3375598.81,0.000720695,1.01486968
10.3334589,4291425.04,0.000712921,0.99444251
10.3680142,3377016.02,0.000712942,0.97237523
12.1950045,4764353.75,0.000719831,1.01040854
12.2469907,4069882.38,0.000712921,0.99945836
12.0441334,4069882.38,0.000712922,1.00050231
14.4193031,3374468.93,0.000712925,1.01502798
14.0821716,3741797.93,0.000712921,1.00020778
14.2733966,3558845.54,0.000712921,0.96898735
14.4930711,3466659.93,0.000712921,1.00813037
14.1755689,3650789.47,0.000712921,1.03891919
