Comp,MW,c_p_liquid_solid_avg_20to100C,dH_vap_0,Tc,Tb,dH_f,dH_c,c_p_v_1,c_p_v_2,c_p_v_3,c_p_v_4,coef_vapor_pressure_1,coef_vapor_pressure_2,coef_vapor_pressure_3,density,latent_heat_evap
Wa,18,4.18,2254.62,374.15,100,-13444.44444,0,32.243,0.00192,1.06E-05,-3.6E-09,18.3036,3816.44,227.02,1,2256
CO2,44,0,0,0,0,-8946.590909,0,19.795,0.0734,-5.6E-05,1.72E-08,0,0,0,0,0
CO,28,0,0,0,0,-3950.714286,0,30.869,-0.0129,2.79E-05,-1.27E-08,0,0,0,0,0
O2,32,0,0,0,0,0,0,28.106,-3.68E-06,1.75E-05,-1.07E-08,0,0,0,0,0
N2,28,0,0,0,0,0,0,31.15,-0.0136,2.68E-05,-1.17E-08,0,0,0,0,0
H2S,34,0,0,0,0,-593.5294118,-512,31.941,0.00144,2.43E-05,-1.18E-08,0,0,0,0,0
NH3,17,0,0,0,0,-2689.411765,-316.83,27.135,0.0238,1.71E-05,-1.19E-08,16.9481,2132.5,240.17,0,0
NH4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,16,0,0,0,0,-4678.75,-802.62,19.251,0.0521,1.2E-05,-1.13E-08,0,0,0,0,0
SO2,64,0,0,0,0,-4641.40625,0,23.852,0.067,-4.96E-05,1.33E-08,0,0,0,0,0
C,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norg,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rest,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2O5,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K2O,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cattle_slurry,0,0,0,0,0,0,-211.4,0,0,0,0,0,0,0,0,0
Pig_slurry,0,0,0,0,0,0,-361.3,0,0,0,0,0,0,0,0,0
Poultry_slurry,0,0,0,0,0,0,-197.93025,0,0,0,0,0,0,0,0,0
Sheep_slurry,0,0,0,0,0,0,-194.6339729,0,0,0,0,0,0,0,0,0
MgCl2,95.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaOH,39.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Struvite,247.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
Struvite_seeds,247.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
Mg,24.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl,35.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PO4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAP,502.306,,,,,,,,,,,,,,,
CaCO3,100.086,,,,,,,,,,,,,,,
Ca,40.078,,,,,,,,,,,,,,,
NaOH,39.997,,,,,,,,,,,,,,,
